forme	lemme	catégorie
Renée	Renée	NPFS
.	.	PCTFORTE
Renée	Renée	NPFS
se	se	PPER3S
souleva	soulever	VINDPS3S
légèrement	légèrement	ADV
,	,	PCTFAIB
cligna	cligner	VINDPS3S
les	le	DETDPIG
yeux	oeil	NCMP
,	,	PCTFAIB
avec	avec	PREP
cette	ce	DETDEM
moue	moue	NCFS
exquise	exquis	ADJFS
que	que	PRI
lui	lui	PPER3S
faisait	faire	VINDI3S
faire	faire	VINF
la	le	DETDFS
faiblesse	faiblesse	NCFS
de	de	PREP
sa	son	DETPOSS
vue	vue	NCFS
.	.	PCTFORTE
Je	je	PPER1S
la	le	PPER3S
croyais	croire	VINDI1S
en	en	PREP
fuite	fuite	NCFS
,	,	PCTFAIB
dit	dire	VINDP3S
-elle	elle	PPER3S
...	...	PCTFORTE
Elle	elle	PPER3S
a	avoir	VINDP3S
changé	changer	VPARPMS
la	le	DETDFS
couleur	couleur	NCFS
de	de	PREP
ses	son	DETPOSS
cheveux	cheveu	NCMP
,	,	PCTFAIB
n'	ne	ADV
est	être	VINDP3S
-ce	ce	PDS
pas	pas	ADV
?	?	PCTFORTE
Oui	oui	ADV
,	,	PCTFAIB
reprit	reprendre	VINDPS3S
Maxime	Maxime	NPMS
en	en	PREP
riant	rire	VPARPRES
,	,	PCTFAIB
son	son	NCMS
nouvel	nouvel	ADJMS
amant	amant	NCMS
déteste	détester	VINDP3S
le	le	DETDMS
rouge	rouge	NCSIG
.	.	PCTFORTE
Renée	Renée	NPFS
,	,	PCTFAIB
penchée	pencher	VPARPFS
en	en	PREP
avant	avant	ADV
,	,	PCTFAIB
la	le	DETDFS
main	main	NCFS
appuyée	appuyé	ADJFS
sur	sur	ADJMS
la	le	DETDFS
portière	portier	NCFS
basse	bas	ADJFS
de	de	PREP
la	le	DETDFS
calèche	calèche	NCFS
,	,	PCTFAIB
regardait	regarder	VINDI3S
,	,	PCTFAIB
éveillée	éveillé	ADJFS
du	de le	DETDMS
rêve	rêve	NCMS
triste	triste	ADJSIG
qui	qui	PRI
,	,	PCTFAIB
depuis	depuis	PREP
une	un	DETIFS
heure	heure	NCFS
,	,	PCTFAIB
la	le	PPER3S
tenait	tenir	VINDI3S
silencieuse	silencieux	ADJFS
,	,	PCTFAIB
allongée	allonger	VPARPFS
au	à le	DETDMS
fond	fond	NCMS
de	de	PREP
la	le	DETDFS
voiture	voiture	NCFS
,	,	PCTFAIB
comme	comme	SUB
dans	dans	PREP
une	un	DETIFS
chaise	chaise	NCFS
longue	long	ADJFS
de	de	PREP
convalescente	convalescent	ADJFS
.	.	PCTFORTE
Elle	elle	PPER3S
portait	porter	VINDI3S
,	,	PCTFAIB
sur	sur	PREP
une	un	DETIFS
robe	rob	NCFS
de	de	PREP
soie	soie	NCFS
mauve	mauve	ADJSIG
,	,	PCTFAIB
à	à	PREP
tablier	tablier	NCMS
et	et	COO
à	à	PREP
tunique	tunique	NCFS
,	,	PCTFAIB
garnie	garnir	VPARPFS
de	de	PREP
larges	large	ADJPIG
volants	volant	NCMP
plissés	plissé	ADJMP
,	,	PCTFAIB
un	un	PIMS
petit	petit	ADJMS
paletot	paletot	NCMS
de	de	PREP
drap	drap	NCMS
blanc	blanc	ADJMS
,	,	PCTFAIB
aux	à le	DETDPIG
revers	revers	NCMIN
de	de	PREP
velours	velours	NCMIN
mauve	mauve	ADJSIG
,	,	PCTFAIB
qui	qui	PRI
lui	lui	PPER3S
donnait	donner	VINDI3S
un	un	DETIMS
grand	grand	ADJMS
air	air	NCMS
de	de	PREP
crânerie	crânerie	NCFS
.	.	PCTFORTE
Ses	son	DETPOSS
étranges	étrange	ADJPIG
cheveux	cheveu	NCMP
fauve	fauve	ADJSIG
pâle	pâle	ADJSIG
,	,	PCTFAIB
dont	dont	PRI
la	le	DETDFS
couleur	couleur	NCFS
rappelait	rappeler	VINDI3S
celle	celui	PDS
du	du	DETDMS
beurre	beurre	NCMS
fin	fin	ADJMS
,	,	PCTFAIB
étaient	être	VINDI3P
à	à	PREP
peine	peine	NCFS
cachés	cacher	VPARPMP
par	par	PREP
un	un	DETIMS
mince	mince	ADJSIG
chapeau	chapeau	NCMS
orné	orner	VPARPMS
d'	de	PREP
une	un	DETIFS
touffe	touffe	NCFS
de	de	PREP
roses	rose	NCPIG
du	de le	DETDMS
Bengale	Bengale	NPMS
.	.	PCTFORTE
Elle	elle	PPER3S
continuait	continuer	VINDI3S
à	à	PREP
cligner	cligner	VINF
des	de le	DETDPIG
yeux	oeil	NCMP
,	,	PCTFAIB
avec	avec	PREP
sa	son	DETPOSS
mine	mine	NCFS
de	de	PREP
garçon	garçon	NCMS
impertinent	impertinent	ADJMS
,	,	PCTFAIB
son	son	NCMS
front	front	NCMS
pur	pur	ADJMS
traversé	traversé	ADJMS
d'	de	PREP
une	un	DETIFS
grande	grand	ADJFS
ride	ride	NCFS
,	,	PCTFAIB
sa	son	DETPOSS
bouche	bouche	NCFS
dont	dont	PRI
la	le	DETDFS
lèvre	lèvre	NCFS
supérieure	supérieur	ADJFS
avançait	avancer	VINDI3S
,	,	PCTFAIB
ainsi	ainsi	ADV
que	que	SUB
celle	celui	PDS
des	un	DETDPIG
enfants	enfant	NCMP
boudeurs	boudeur	ADJMP
.	.	PCTFORTE
Puis	puis	COO
,	,	PCTFAIB
comme	comme	SUB
elle	elle	PPER3S
voyait	voir	VINDI3S
mal	mal	ADV
,	,	PCTFAIB
elle	elle	PPER3S
prit	prendre	VINDPS3S
son	son	DETPOSS
binocle	binocle	NCMS
,	,	PCTFAIB
un	un	DETIMS
binocle	binocle	NCMS
d'	de	PREP
homme	homme	NCMS
,	,	PCTFAIB
à	à	PREP
garniture	garniture	NCFS
d'	de	PREP
écaille	écaille	NCFS
,	,	PCTFAIB
et	et	COO
,	,	PCTFAIB
le	le	PPER3S
tenant	tenir	VPARPRES
à	à	PREP
la	le	DETDFS
main	main	NCFS
,	,	PCTFAIB
sans	sans	PREP
se	se	PPER3S
le	le	DETDMS
poser	poser	VINF
sur	sur	PREP
le	le	DETDMS
nez	nez	NCMIN
,	,	PCTFAIB
elle	elle	PPER3S
examina	examiner	VINDPS3S
la	le	DETDFS
grosse	gros	ADJFS
Laure	laure	NCSIG
d'	de	PREP
Aurigny	Aurigny	NPI
tout	tout	ADV
à	à	PREP
son	son	DETPOSS
aise	ais	NCFS
,	,	PCTFAIB
d'	de	PREP
un	un	DETIMS
air	air	NCMS
parfaitement	parfaitement	ADV
calme	calme	ADJSIG
.	.	PCTFORTE
Les	le	DETDPIG
voitures	voiture	NCFP
n'	ne	ADV
avançaient	avancer	VINDI3P
toujours	toujours	ADV
pas	pas	ADV
.	.	PCTFORTE
Au	à le	DETDMS
milieu	milieu	NCMS
des	de le	DETDPIG
taches	tache	NCFP
unies	uni	ADJFP
,	,	PCTFAIB
de	de	PREP
teinte	teinte	NCFS
sombre	sombre	ADJSIG
,	,	PCTFAIB
que	que	SUB
faisait	faire	VINDI3S
la	le	DETDFS
longue	long	ADJFS
file	file	NCFS
des	de le	DETDPIG
coupés	coupé	NCMP
,	,	PCTFAIB
fort	fort	ADV
nombreux	nombreux	ADJMIN
au	à le	DETDMS
Bois	bois	NCMIN
par	par	PREP
cet	ce	DETDEM
après-midi	après-midi	NCI
d'	de	PREP
automne	automne	NCMS
,	,	PCTFAIB
brillaient	briller	VINDI3P
le	le	DETDMS
coin	coin	NCMS
d'	de	PREP
une	un	DETIFS
glace	glace	NCFS
,	,	PCTFAIB
le	le	DETDMS
mors	mors	NCMIN
d'	de	PREP
un	un	DETIMS
cheval	cheval	NCMS
,	,	PCTFAIB
la	le	DETDFS
poignée	poignée	NCFS
argentée	argenté	ADJFS
d'	de	PREP
une	un	DETIFS
lanterne	lanterne	NCFS
,	,	PCTFAIB
les	le	DETDPIG
galons	galon	NCMP
d'	de	PREP
un	un	PIMS
laquais	laquais	NCMIN
haut	haut	ADV
placé	placer	VPARPMS
sur	sur	PREP
son	son	DETPOSS
siège	siège	NCMS
.	.	PCTFORTE
