forme	lemme	catégorie
tenait	tenir	VINDI3S
la	le	DETDFS
tête	tête	NCFS
de	de	PREP
la	le	DETDFS
file	file	NCFS
.	.	PCTFORTE
Il	il	PPER3S
marchait	marcher	VINDI3S
,	,	PCTFAIB
dormant	dormir	VPARPRES
à	à	PREP
demi	demi	ADV
,	,	PCTFAIB
dodelinant	dodeliner	VPARPRES
des	de le	DETDPIG
oreilles	oreille	NCFP
,	,	PCTFAIB
lorsque	lorsque	SUB
,	,	PCTFAIB
à	à	PREP
la	le	DETDFS
hauteur	hauteur	NCHFS
de	de	PREP
la	le	DETDFS
rue	rue	NCFS
de	de	PREP
Longchamp	Longchamp	NPHSIG
,	,	PCTFAIB
un	un	DETIMS
sursaut	sursaut	NCMS
de	de	PREP
peur	peur	NCFS
le	le	PPER3S
planta	planter	VINDPS3S
net	net	ADV
sur	sur	PREP
ses	son	DETPOSS
quatre	quatre	ADJNUM
pieds	pied	NCMP
.	.	PCTFORTE
Les	le	DETDPIG
autres	autre	ADJPIG
bêtes	bête	NCFP
vinrent	venir	VINDPS3P
donner	donner	VINF
de	de	PREP
la	le	DETDFS
tête	tête	NCFS
contre	contre	PREP
le	le	DETDMS
cul	cul	NCMS
des	de le	DETDPIG
voitures	voiture	NCFP
,	,	PCTFAIB
et	et	COO
la	le	DETDFS
file	file	NCFS
s'	se	PPER3S
arrêta	arrêter	VINDPS3S
,	,	PCTFAIB
avec	avec	PREP
la	le	DETDFS
secousse	secousse	NCFS
des	de le	DETDPIG
ferrailles	ferraille	NCFP
,	,	PCTFAIB
au	à le	DETDMS
milieu	milieu	NCMS
des	de le	DETDPIG
jurements	jurement	NCMP
des	de le	DETDPIG
charretiers	charretier	NCMP
réveillés	réveiller	VPARPMP
.	.	PCTFORTE
Madame	madame	NCFIN
François	François	NPHSIG
,	,	PCTFAIB
adossée	adosser	VPARPFS
à	à	PREP
une	un	DETIFS
planchette	planchette	NCFS
contre	contre	PREP
ses	son	DETPOSS
légumes	légume	NCMP
,	,	PCTFAIB
regardait	regarder	VINDI3S
,	,	PCTFAIB
ne	ne	ADV
voyait	voir	VINDI3S
rien	rien	PII
,	,	PCTFAIB
dans	dans	PREP
la	le	DETDFS
maigre	maigre	ADJSIG
lueur	lueur	NCFS
jetée	jeter	VPARPFS
à	à	PREP
gauche	gauche	NCFS
par	par	PREP
la	le	DETDFS
petite	petit	ADJFS
lanterne	lanterne	NCFS
carrée	carrée	ADJFS
,	,	PCTFAIB
qui	qui	PRI
n'	ne	ADV
éclairait	éclairer	VINDI3S
guère	guère	ADV
qu'	que	SUB
un	un	PIMS
des	de le	DETDPIG
